Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma
1,7,2.964507e-01,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],2.964507e-01,4.685109e-01,5.188044e-02,-8.348961e-02,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[ 0.4685109   0.05188044 -0.08348961],4.151306e-01
2,14,1.356900e-01,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],2.964507e-01,2.158721e-01,-1.112425e-01,1.921545e-01,8.525911e-01,8.652618e-01,1.075046e+00,-2.318354e-01,[ 0.21587207 -0.11124247  0.19215449],3.857153e-01
3,21,1.004959e-01,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],2.000592e-01,-1.767423e-02,7.543629e-02,-1.310655e-01,7.285187e-01,9.391294e-01,1.000446e+00,-3.790978e-01,[-0.01767423  0.07543629 -0.13106553],3.740818e-01
4,28,1.004959e-01,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],2.359683e-02,-5.026356e-01,3.425804e-02,-5.530349e-02,6.231844e-01,8.496978e-01,1.419302e+00,-2.856224e-01,[-0.50263562  0.03425804 -0.05530349],4.290628e-01
5,35,1.004959e-01,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],5.528007e-02,-5.529075e-01,1.589366e-01,-1.345045e-01,5.354374e-01,7.430679e-01,1.349854e+00,-6.216427e-01,[-0.55290753  0.15893661 -0.13450446],4.271505e-01
6,42,9.075059e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],1.632990e-01,-2.034750e-01,1.105946e-01,-1.210465e-01,4.573567e-01,6.428456e-01,1.229717e+00,-1.017358e+00,[-0.20347501  0.11059462 -0.12104645],3.295637e-01
7,49,2.215526e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],7.569860e-02,-4.695071e-01,1.218892e-01,-1.336089e-01,3.963954e-01,5.489593e-01,1.183706e+00,-1.356424e+00,[-0.46950708  0.1218892  -0.13360885],2.904067e-01
8,56,2.215526e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],1.569064e-01,-4.467754e-01,1.148366e-01,-2.000000e-01,3.452241e-01,4.768652e-01,1.020874e+00,-1.783424e+00,[-0.44677536  0.11483661 -0.2       ],2.437578e-01
9,63,2.215526e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],8.234620e-02,-4.956448e-01,2.000000e-01,-2.000000e-01,3.052941e-01,4.203468e-01,9.299553e-01,-2.125774e+00,[-0.49564484  0.2        -0.2       ],2.124775e-01
10,70,2.215526e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],2.104990e-02,-5.569723e-01,1.886264e-01,-1.675925e-01,2.638317e-01,3.642735e-01,8.495593e-01,-2.505332e+00,[-0.55697226  0.18862639 -0.16759253],1.813712e-01
11,77,2.215526e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],7.806431e-02,-5.181609e-01,1.581616e-01,-1.430838e-01,2.252097e-01,3.381946e-01,7.418728e-01,-2.873435e+00,[-0.5181609   0.15816164 -0.14308378],1.460085e-01
12,84,2.215526e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],1.248302e-02,-6.662617e-01,1.619610e-01,-1.174179e-01,1.925829e-01,3.044364e-01,8.689462e-01,-2.976996e+00,[-0.66626174  0.16196099 -0.11741795],1.468272e-01
13,91,2.215526e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],2.849964e-02,-6.537307e-01,1.821215e-01,-1.243912e-01,1.673988e-01,2.687932e-01,8.486219e-01,-3.265331e+00,[-0.65373066  0.18212146 -0.12439119],1.284085e-01
14,98,2.215526e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],2.949199e-02,-6.871351e-01,1.764100e-01,-1.107760e-01,1.442690e-01,2.333632e-01,7.606271e-01,-3.664847e+00,[-0.68713507  0.17640996 -0.110776  ],1.124791e-01
15,105,2.215526e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],1.289806e-01,-7.191691e-01,1.504514e-01,-1.171445e-01,1.378979e-01,2.093358e-01,6.970718e-01,-3.905924e+00,[-0.71916905  0.15045139 -0.11714451],1.032674e-01
16,112,1.784013e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],2.866284e-02,-7.133431e-01,1.869033e-01,-1.103872e-01,1.302220e-01,1.868127e-01,6.220174e-01,-4.190951e+00,[-0.71334308  0.18690334 -0.11038722],9.003181e-02
17,119,1.329164e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],6.916863e-02,-7.485968e-01,1.889701e-01,-1.063970e-01,1.129846e-01,1.610608e-01,5.949962e-01,-4.525677e+00,[-0.74859683  0.18897015 -0.10639699],8.072752e-02
18,126,1.329164e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],2.896734e-02,-7.652231e-01,1.889178e-01,-1.084239e-01,9.654568e-02,1.397092e-01,5.391480e-01,-4.923696e+00,[-0.76522306  0.18891784 -0.10842392],7.071572e-02
19,133,1.329164e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],7.761476e-02,-7.428359e-01,1.858214e-01,-1.000303e-01,8.427200e-02,1.232800e-01,4.675143e-01,-5.327328e+00,[-0.7428359   0.1858214  -0.10003034],5.783172e-02
20,140,1.329164e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],2.824439e-02,-7.187833e-01,1.871665e-01,-1.027895e-01,7.254630e-02,1.078534e-01,4.705703e-01,-5.604323e+00,[-0.71878334  0.18716651 -0.10278948],5.020706e-02
21,147,1.329164e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],3.772055e-02,-6.989902e-01,1.877450e-01,-1.091104e-01,6.289155e-02,9.380559e-02,4.813056e-01,-5.864127e+00,[-0.69899022  0.18774503 -0.10911037],4.661900e-02
22,154,1.329164e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],2.869935e-02,-7.076683e-01,1.901821e-01,-1.084308e-01,5.434867e-02,8.227141e-02,4.278286e-01,-6.259099e+00,[-0.7076683   0.19018205 -0.10843077],3.795646e-02
23,161,1.329164e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],6.620790e-02,-7.128877e-01,1.980020e-01,-1.135927e-01,4.757792e-02,8.992979e-02,3.814720e-01,-6.417830e+00,[-0.71288769  0.19800196 -0.11359274],3.567174e-02
24,168,1.329164e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],6.916930e-02,-7.363937e-01,1.929483e-01,-1.156309e-01,4.600995e-02,7.914624e-02,4.345377e-01,-6.448828e+00,[-0.7363937   0.19294828 -0.11563094],3.643721e-02
25,175,1.329164e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],3.920875e-02,-7.356669e-01,1.887760e-01,-9.968599e-02,4.430394e-02,1.050527e-01,3.872772e-01,-6.318589e+00,[-0.73566693  0.18877596 -0.09968599],3.779523e-02
26,182,1.329164e-02,[[-0.07330122  0.09828366  0.08942023 -0.14951613]],3.689758e-02,-7.644256e-01,1.931127e-01,-1.061716e-01,3.795100e-02,9.544030e-02,5.035346e-01,-6.306817e+00,[-0.76442558  0.19311275 -0.10617155],4.066316e-02
