Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,2.841418e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],2.537848e-01,3.352138e+00,-6.262079e-02,6.944293e-02,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[ 3.35213772 -0.06262079  0.06944293],3.730731e-01,0.29901872893534504
2,14,2.841418e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.182872e-01,3.219984e+00,-7.665417e-02,-1.120755e-01,8.527977e-01,8.601857e-01,9.355175e-01,-3.764953e-01,[ 3.21998402 -0.07665417 -0.11207553],3.184227e-01,0.21548605947834193
3,21,1.742372e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.182872e-01,3.601050e+00,1.373611e-01,-1.836684e-01,7.498886e-01,8.067536e-01,1.180038e+00,-3.370213e-01,[ 3.60105007  0.13736105 -0.18366836],3.244508e-01,0.29353631814024156
4,28,1.225377e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],9.440737e-02,3.607616e+00,3.804483e-02,-1.434348e-02,6.473817e-01,7.429550e-01,1.065455e+00,-6.685374e-01,[ 3.60761576  0.03804483 -0.01434348],2.852601e-01,0.08458454377869994
5,35,1.225377e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],1.691727e-01,3.643205e+00,-4.292806e-02,6.375672e-02,5.557013e-01,7.349240e-01,9.235904e-01,-9.749992e-01,[ 3.64320462 -0.04292806  0.06375672],2.529552e-01,0.10432894494103441
6,42,1.225377e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],1.055214e-01,3.618298e+00,-3.503348e-02,1.170820e-02,4.814873e-01,6.308122e-01,8.039217e-01,-1.409876e+00,[ 3.61829797 -0.03503348  0.0117082 ],2.000029e-01,0.03070128838900307
7,49,5.810094e-02,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],1.525470e-01,3.721521e+00,4.277547e-02,7.705024e-02,4.473695e-01,5.537291e-01,8.309378e-01,-1.580650e+00,[3.72152066 0.04277547 0.07705024],1.839334e-01,0.03637952456813466
8,56,5.810094e-02,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],1.120647e-01,3.712844e+00,-6.364399e-02,1.318567e-01,3.924011e-01,5.722155e-01,7.528922e-01,-1.777544e+00,[ 3.71284354 -0.06364399  0.13185668],1.690419e-01,0.05366107854985875
9,63,4.906264e-02,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],1.050439e-01,3.752054e+00,-5.478727e-02,1.267994e-01,3.368809e-01,4.930918e-01,6.645741e-01,-2.203695e+00,[ 3.75205423 -0.05478727  0.12679935],1.457501e-01,0.005113587832345319
10,70,3.529501e-02,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],7.463014e-02,3.687560e+00,-4.851484e-02,1.167180e-01,2.927721e-01,4.307433e-01,5.923191e-01,-2.594313e+00,[ 3.68756008 -0.04851484  0.11671798],1.163160e-01,0.0037909160086186627
11,77,1.445157e-02,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.434584e-02,3.709786e+00,-1.706805e-02,7.577297e-02,2.585377e-01,4.102889e-01,5.097735e-01,-2.917396e+00,[ 3.70978582 -0.01706805  0.07577297],9.960093e-02,0.0
12,84,1.445157e-02,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],4.072413e-02,3.694057e+00,-1.081045e-01,1.245600e-01,2.292229e-01,4.357952e-01,5.448371e-01,-2.910912e+00,[ 3.69405701 -0.10810445  0.12455998],1.006958e-01,0.008742976316888893
13,91,1.445157e-02,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],5.410908e-03,3.736925e+00,-1.314410e-01,1.553764e-01,1.957591e-01,4.065243e-01,5.699156e-01,-3.093249e+00,[ 3.73692521 -0.13144102  0.15537641],1.025687e-01,0.005963470694861076
14,98,1.445157e-02,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],1.229545e-01,3.790928e+00,-5.788185e-02,1.587422e-01,1.780764e-01,4.748442e-01,5.350346e-01,-3.095735e+00,[ 3.79092816 -0.05788185  0.15874221],1.051350e-01,0.011089681940272997
15,105,1.445157e-02,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],4.599347e-02,3.722485e+00,-3.921869e-02,9.926923e-02,1.540362e-01,4.671268e-01,5.363575e-01,-3.254676e+00,[ 3.72248499 -0.03921869  0.09926923],9.300980e-02,0.0
16,112,1.445157e-02,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],4.396778e-02,3.774692e+00,-5.769135e-02,8.616328e-02,1.748603e-01,4.201763e-01,5.069647e-01,-3.290163e+00,[ 3.77469162 -0.05769135  0.08616328],9.152602e-02,0.0
17,119,1.445157e-02,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],6.446677e-02,3.887689e+00,-6.281521e-02,1.375896e-01,1.554707e-01,3.800269e-01,9.140730e-01,-2.918657e+00,[ 3.88768888 -0.06281521  0.1375896 ],1.137255e-01,0.0
18,126,1.445157e-02,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],6.494522e-02,3.898104e+00,-7.830141e-02,8.791285e-02,1.802429e-01,3.429395e-01,8.715781e-01,-2.921101e+00,[ 3.89810421 -0.07830141  0.08791285],1.296346e-01,0.0
19,133,8.435066e-03,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],7.470632e-02,3.814209e+00,-4.307462e-02,1.128788e-01,1.804739e-01,2.961829e-01,7.949162e-01,-3.158466e+00,[ 3.81420859 -0.04307462  0.11287879],1.046638e-01,0.0
20,140,8.435066e-03,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],8.230629e-02,3.651118e+00,-1.381498e-02,1.226237e-01,1.827908e-01,2.670977e-01,1.315154e+00,-2.745600e+00,[ 3.65111819 -0.01381498  0.12262372],1.225250e-01,0.0
21,147,8.435066e-03,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],9.307168e-02,3.678408e+00,-5.996362e-02,7.729557e-02,1.957288e-01,2.441957e-01,1.201227e+00,-2.857467e+00,[ 3.67840814 -0.05996362  0.07729557],1.166953e-01,0.0026213559758683186
22,154,8.435066e-03,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],6.336045e-02,3.736899e+00,-3.238185e-02,1.073846e-01,1.854460e-01,2.163904e-01,1.096577e+00,-3.123470e+00,[ 3.73689906 -0.03238185  0.10738461],9.635787e-02,7.005446797749995e-06
23,161,8.435066e-03,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],9.725672e-02,3.643717e+00,-2.195521e-02,3.757061e-02,1.632932e-01,2.513434e-01,1.163384e+00,-3.041810e+00,[ 3.64371743 -0.02195521  0.03757061],1.038319e-01,0.0
24,168,8.435066e-03,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],8.367929e-02,3.689459e+00,1.741462e-02,7.102492e-02,1.860517e-01,2.288930e-01,1.013501e+00,-3.142821e+00,[3.68945903 0.01741462 0.07102492],1.015961e-01,0.0
25,175,8.435066e-03,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],1.401422e-02,3.649925e+00,-3.877490e-02,6.837145e-02,1.830076e-01,2.175145e-01,9.183622e-01,-3.308881e+00,[ 3.649925   -0.0387749   0.06837145],9.088115e-02,0.0
26,182,8.435066e-03,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],2.806307e-02,3.625206e+00,-3.954902e-02,8.059968e-02,1.578399e-01,2.039160e-01,8.729775e-01,-3.572067e+00,[ 3.62520619 -0.03954902  0.08059968],8.075379e-02,0.0
27,189,8.435066e-03,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],1.765787e-02,3.587027e+00,-1.467196e-02,5.695104e-02,1.354907e-01,1.891551e-01,8.637333e-01,-3.810531e+00,[ 3.58702652 -0.01467196  0.05695104],7.537812e-02,0.0
28,196,8.435066e-03,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],1.961452e-02,3.595112e+00,-2.162795e-02,6.390966e-02,1.168474e-01,1.633724e-01,7.783779e-01,-4.209153e+00,[ 3.5951123  -0.02162795  0.06390966],6.145670e-02,0.0
29,203,8.435066e-03,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],1.181892e-01,3.612683e+00,-2.085396e-02,5.932953e-02,1.041121e-01,1.422361e-01,7.247165e-01,-4.534528e+00,[ 3.6126833  -0.02085396  0.05932953],4.960374e-02,0.0
