Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,7.078824e-01,[-0.06881116  0.12870149  0.00946875  0.02602746],7.884395e-01,3.194002e-01,2.000000e-01,2.000000e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,[0.31940023 0.2        0.2       ],2.000000e+00,3.6315287481402736
2,14,7.078824e-01,[-0.06881116  0.12870149  0.00946875  0.02602746],1.291112e-01,2.054713e+00,-8.287098e-02,2.826745e-02,8.523750e-01,8.549971e-01,1.067934e+00,-2.506601e-01,[ 2.05471258 -0.08287098  0.02826745],1.817439e+00,2.3218763131637226
3,21,3.338496e-01,[-0.06881116  0.12870149  0.00946875  0.02602746],1.223898e-01,1.907838e+00,3.425804e-02,1.795331e-01,7.269200e-01,7.300928e-01,9.641028e-01,-6.700798e-01,[1.90783798 0.03425804 0.17953306],1.493287e+00,1.7409858563795437
4,28,3.338496e-01,[-0.06881116  0.12870149  0.00946875  0.02602746],8.590523e-02,1.320874e+00,1.273312e-01,1.513871e-01,6.203941e-01,6.230848e-01,8.589783e-01,-1.102485e+00,[1.32087379 0.1273312  0.15138706],1.154117e+00,1.088449513431096
5,35,2.063114e-01,[-0.06881116  0.12870149  0.00946875  0.02602746],9.055147e-02,7.853118e-01,1.624007e-01,-1.606570e-01,5.306108e-01,5.440960e-01,8.065493e-01,-1.457346e+00,[ 0.78531182  0.16240071 -0.16065703],1.003993e+00,0.8621935048689018
6,42,2.063114e-01,[-0.06881116  0.12870149  0.00946875  0.02602746],1.291112e-01,3.685493e-01,-1.275602e-01,2.559209e-02,4.621559e-01,4.771928e-01,7.771379e-01,-1.763825e+00,[ 0.36854926 -0.12756022  0.02559209],9.161621e-01,1.3652521476821011
7,49,2.020591e-01,[-0.06881116  0.12870149  0.00946875  0.02602746],1.291112e-01,4.507906e-01,-1.513871e-01,-8.287098e-02,3.990309e-01,4.091359e-01,6.822153e-01,-2.194834e+00,[ 0.45079055 -0.15138706 -0.08287098],7.602188e-01,0.5134678348495314
8,56,6.130351e-02,[-0.06881116  0.12870149  0.00946875  0.02602746],1.204630e-01,8.901493e-01,-3.563209e-02,-8.287098e-02,3.433957e-01,3.503568e-01,6.607443e-01,-2.532064e+00,[ 0.89014934 -0.03563209 -0.08287098],6.329443e-01,0.1729742736792406
9,63,6.130351e-02,[-0.06881116  0.12870149  0.00946875  0.02602746],7.687496e-02,9.202641e-01,1.239226e-01,7.911733e-02,2.987207e-01,3.217763e-01,6.133715e-01,-2.830929e+00,[0.92026408 0.12392255 0.07911733],5.500220e-01,0.23986407539880236
10,70,6.130351e-02,[-0.06881116  0.12870149  0.00946875  0.02602746],1.291112e-01,1.050460e+00,-6.466137e-02,1.598621e-01,2.710063e-01,2.865864e-01,5.529937e-01,-3.147737e+00,[ 1.05046033 -0.06466137  0.15986208],4.897523e-01,0.1230950218457465
