Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,m2,eigval0,eigval1,eigval2,logDetC,m,sigma,penalty
1,7,3.182872e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.182872e-01,1.081999e+00,4.576755e-02,7.906362e-02,6.783857e-01,8.773282e-01,1.680201e+00,-1.332268e-15,[1.08199943 0.04576755 0.07906362],5.142859e-01,0.28807642508588066
2,14,3.182872e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.182872e-01,1.577101e+00,-4.910668e-02,1.376614e-01,5.897975e-01,7.573475e-01,1.658016e+00,-3.002874e-01,[ 1.57710139 -0.04910668  0.13766141],4.585832e-01,0.20270860545598302
3,21,3.182872e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.182872e-01,1.152217e+00,-1.505631e-01,-8.806137e-02,5.221169e-01,6.925977e-01,1.515542e+00,-6.013967e-01,[ 1.15221704 -0.15056312 -0.08806137],4.018904e-01,0.3620423687146598
4,28,3.182872e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.182872e-01,1.225399e+00,-7.988479e-02,-1.482096e-01,4.550081e-01,6.113762e-01,1.326207e+00,-9.971596e-01,[ 1.22539946 -0.07988479 -0.14820962],3.334306e-01,0.18145428382317608
5,35,3.182872e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.182872e-01,1.499520e+00,3.166090e-02,6.523637e-02,4.023396e-01,5.707740e-01,1.349200e+00,-1.171708e+00,[1.49951965 0.0316609  0.06523637],3.094763e-01,0.02741882297853257
6,42,3.179525e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.182872e-01,1.470872e+00,1.312765e-03,-8.000389e-02,3.469769e-01,5.207482e-01,1.183958e+00,-1.542122e+00,[ 1.47087185e+00  1.31276514e-03 -8.00038850e-02],2.580553e-01,0.023413641928863114
7,49,3.179525e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.182872e-01,1.652077e+00,5.579710e-02,7.768832e-02,2.978813e-01,4.777888e-01,1.335268e+00,-1.660515e+00,[1.65207726 0.0557971  0.07768832],2.451531e-01,0.052497393993505746
8,56,3.177756e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.182872e-01,1.793140e+00,2.230725e-02,-5.670124e-02,2.545321e-01,4.970392e-01,1.287161e+00,-1.814976e+00,[ 1.79313979  0.02230725 -0.05670124],2.394398e-01,0.02996895562036151
9,63,2.942071e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.156507e-01,1.950783e+00,8.498478e-02,-3.342251e-02,2.234376e-01,4.365598e-01,1.327038e+00,-2.044504e+00,[ 1.950783    0.08498478 -0.03342251],2.385690e-01,0.026225209845287874
10,70,2.942071e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.182872e-01,1.965370e+00,6.797399e-02,-2.083591e-02,1.946771e-01,3.838154e-01,1.349203e+00,-2.294492e+00,[ 1.96537028  0.06797399 -0.02083591],2.115662e-01,0.00012880204468873217
11,77,2.942071e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.145088e-01,2.020671e+00,1.286620e-01,8.114421e-02,1.753280e-01,3.814020e-01,1.218631e+00,-2.507270e+00,[2.02067074 0.12866203 0.08114421],2.013981e-01,0.027657913200301174
12,84,2.942071e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.182872e-01,1.679883e+00,1.035509e-01,8.669316e-02,1.624578e-01,3.574010e-01,1.571504e+00,-2.394201e+00,[1.67988314 0.10355092 0.08669316],2.067374e-01,0.015126438860894828
13,91,2.942071e-01,[[ 0.08969634 -0.14485016 -0.06912279  0.1309817 ]],3.182872e-01,1.616906e+00,6.248761e-03,5.160504e-02,1.655500e-01,3.161459e-01,1.548750e+00,-2.512585e+00,[1.61690619 0.00624876 0.05160504],2.015352e-01,0.010979860118512794
