,EvalCount,0,0.75,0.25,EvalCount,1,0.75,0.25,EvalCount,2,0.75,0.25,EvalCount,0,0,0,0,0,0,EvalCount,3,0.75,0.25,EvalCount,4,0.75,0.25,EvalCount,5,0.75,0.25
0,8,0.30648790000000004,0.450604275,0.17518092500000002,8,3.3111185,4.140945,2.6619675000000003,8,0.9521561999999999,1.1927102500000002,0.704823475,8,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,8,0.0,0.00363615275765605,0.0,8,6.0607835476267935,6.567514040781026,5.537088913025502,8,1.3015034781954187,1.426322076372263,1.199429528669005
1,16,0.2950469,0.44341045,0.115166925,16,2.02317,2.81825825,1.57746925,16,0.76009755,0.9453904,0.532805325,16,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,16,0.0,0.00167177854601565,0.0,16,4.145234897880327,4.506214554269777,3.72868895252684,16,0.9689837242550514,1.0884286310959137,0.772682964055268
2,24,0.27171599999999996,0.39077327500000003,0.112781875,24,1.462723,1.790235,1.149887,24,0.57137235,0.72105845,0.33549435,24,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,24,0.0,0.002418031225044275,0.0,24,2.56245945955486,2.720133134233477,2.3606904070996815,24,0.6320512824039523,0.7408326741640985,0.5274201633553762
3,32,0.2332127,0.3828765,0.0989025275,32,1.182721,1.368487,0.8458845,32,0.43227565,0.63834375,0.316542,32,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,32,0.0003941987505535,0.002750813384573125,0.0,32,2.0106462343116793,2.184385793673825,1.7327546366544222,32,0.41331929231162384,0.5332333346524025,0.3679111806279522
4,40,0.18186825,0.31751902499999995,0.07386835,40,0.85186975,1.1045812499999998,0.604422325,40,0.32982775,0.470568725,0.1900538,40,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,40,0.0,0.00222842241962905,0.0,40,1.3680286418206538,1.5111489302928196,1.2251920163090604,40,0.2869958495138383,0.363117748510348,0.20654569716672264
5,48,0.15693970000000002,0.311045175,0.07386835,48,0.63009165,0.834961375,0.45181885,48,0.32048775,0.470568725,0.166834875,48,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,48,0.0008392470306965,0.0069120035954514,0.0,48,0.89275246651745,1.0195618976882712,0.660862755383534,48,0.1869932524132328,0.2481635962087561,0.13711284749152872
6,56,0.15397175000000002,0.2918787,0.07386835,56,0.48488475,0.5781775,0.3308213,56,0.23595454999999999,0.3764786,0.166834875,56,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,56,0.00023055048122418007,0.006009072806551325,0.0,56,0.5679059620786682,0.6236051409507064,0.4737028689958333,56,0.1547049736259456,0.18000673102079717,0.12555755753807443
7,64,0.15397175000000002,0.28340797500000003,0.058750407500000004,64,0.36330835,0.54522995,0.293840525,64,0.23595454999999999,0.37309760000000003,0.16536030000000002,64,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,64,0.00274930502762545,0.014019218290967375,0.0,64,0.4122145072627833,0.49305575742802493,0.32448573402516057,64,0.08496647877870595,0.11865267701030666,0.0631920104966988
8,72,0.12572185,0.28340797500000003,0.058750407500000004,72,0.36062125,0.536786125,0.28801705,72,0.23090735,0.37309760000000003,0.16536030000000002,72,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,72,0.0043560215726898,0.01174057753032795,0.0,72,0.23847359148708905,0.3315729386177334,0.17070944715844505,72,0.0749005528584619,0.10400957052737066,0.04694882253560372
9,80,0.12572185,0.28340797500000003,0.057346732500000004,80,0.32641715,0.445816725,0.2263676,80,0.23090735,0.37309760000000003,0.16536030000000002,80,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,80,0.00059215390748635,0.00882909305755805,0.0,80,0.18022323808893065,0.22782086758058195,0.13733972617368684,80,0.0456702209890817,0.0758068126824281,0.03316660524955563
10,88,0.104558705,0.28340797500000003,0.055101725000000004,88,0.3017252,0.445816725,0.159284625,88,0.22680815,0.33840225,0.16536030000000002,88,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,88,0.003110333722989,0.00766266017168495,0.0,88,0.1041578812438047,0.12818381488730574,0.08334674165587617,88,0.0505085221602151,0.06728605591428148,0.0234293668045522
11,96,0.096420955,0.28340797500000003,0.055101725000000004,96,0.2480001,0.36452097499999997,0.1589103,96,0.1929479,0.33477735000000003,0.1648512,96,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,96,0.004670653304200349,0.015075828019194175,0.0,96,0.0841852211574875,0.09996831764848352,0.06003145949461078,96,0.022831347816163,0.03558256168954312,0.01745043335714255
12,104,0.096420955,0.277737125,0.0467376125,104,0.2233365,0.36452097499999997,0.1473778,104,0.18460290000000001,0.334777075,0.135463425,104,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,104,0.0051054896289661,0.011826047664094775,0.0,104,0.08136094906730325,0.1077516782525344,0.05001324027734922,104,0.0178262921110269,0.03928839979181858,0.005837124943818
13,112,0.096420955,0.277737125,0.0467376125,112,0.2233365,0.36452097499999997,0.1473778,112,0.18460290000000001,0.334777075,0.126319125,112,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,112,0.00059204083115445,0.0119231500821513,0.0,112,0.037490167012258144,0.05356707861344265,0.02588028503032425,112,0.01647663115137225,0.02138637391602435,0.007756360219444125
14,120,0.070088765,0.277737125,0.0391975675,120,0.2233365,0.36452097499999997,0.1119271025,120,0.15274825,0.32051477500000003,0.0646292575,120,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,120,0.00108724795740195,0.005698451634828875,0.0,120,0.0132359740056311,0.05236164501327365,0.006369613222949325,120,0.014609509394558799,0.023708303312332226,0.0056150478728251
15,128,0.067039265,0.2775266,0.0374394775,128,0.2070721,0.35857145,0.0892245075,128,0.1500978,0.291686975,0.0382399125,128,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,128,0.001380728863257,0.008510138023558825,0.0,128,0.02111787009813085,0.034757079206485124,0.013014726686581799,128,0.0054593462191052,0.013153769317288901,0.001702484718449025
16,136,0.067039265,0.27521562499999996,0.034864325,136,0.1867192,0.314819675,0.0892245075,136,0.1500978,0.291686975,0.0382399125,136,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,136,0.0004548088276208,0.006414783624789051,0.0,136,0.01864220919318415,0.03333614804686975,0.008672623408251775,136,0.0157482694910764,0.02230128324973975,0.00467178573043285
17,144,0.067039265,0.263048075,0.0347283725,144,0.1867192,0.30100655000000004,0.0892245075,144,0.1500978,0.291686975,0.0382399125,144,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,144,0.00140246086893165,0.004917237974475075,0.0,144,0.01429765266965715,0.027708140906236123,0.0069232196479643,144,0.0077918493948195,0.01872564907687685,0.002134882267085375
