Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,eigval0,eigval1,logDetC,m,sigma,C
1,6,6.258113e-05,[[ 1.97407802 -0.79162015]],1.818702e-09,3.944153e-01,-2.699239e+00,1.000000e+00,1.000000e+00,0.000000e+00,[ 0.39441526 -2.69923857],1.000000e-02,"[[1. 0.]
 [0. 1.]]"
2,12,1.705582e-05,[[ 1.97407802 -0.79162015]],4.433585e-05,3.878587e-01,-2.698179e+00,8.116606e-01,9.576295e-01,-2.519673e-01,[ 0.38785868 -2.69817938],8.915601e-03,"[[ 0.95356063 -0.02402865]
 [-0.02402865  0.81572949]]"
3,18,6.361432e-06,[[ 1.97407802 -0.79162015]],5.223192e-06,3.934311e-01,-2.701338e+00,6.727383e-01,8.610184e-01,-5.460383e-01,[ 0.39343107 -2.70133762],7.409864e-03,"[[ 0.84175587 -0.0570588 ]
 [-0.0570588   0.69200086]]"
4,24,9.194029e-07,[[ 1.97407802 -0.79162015]],1.246734e-06,3.952456e-01,-2.698522e+00,5.719225e-01,7.135253e-01,-8.962891e-01,[ 0.39524564 -2.69852211],6.336959e-03,"[[ 0.71226712 -0.01328845]
 [-0.01328845  0.57318072]]"
5,30,9.194029e-07,[[ 1.97407802 -0.79162015]],1.325731e-06,3.949556e-01,-2.698258e+00,4.595808e-01,5.653317e-01,-1.347783e+00,[ 0.39495557 -2.69825774],5.057159e-03,"[[ 0.56463951 -0.00852757]
 [-0.00852757  0.46027297]]"
6,36,1.864314e-08,[[ 1.97407802 -0.79162015]],3.224151e-06,3.952338e-01,-2.700883e+00,4.213099e-01,4.679353e-01,-1.623812e+00,[ 0.3952338  -2.70088337],4.514077e-03,"[[ 0.44981246 -0.02272768]
 [-0.02272768  0.43943282]]"
7,42,1.864314e-08,[[ 1.97407802 -0.79162015]],2.257145e-07,3.939622e-01,-2.699175e+00,3.374266e-01,4.111071e-01,-1.975309e+00,[ 0.39396221 -2.69917519],3.695361e-03,"[[ 0.38201849 -0.03601551]
 [-0.03601551  0.36651527]]"
8,48,1.864314e-08,[[ 1.97407802 -0.79162015]],1.627454e-07,3.940766e-01,-2.699482e+00,2.674127e-01,3.249671e-01,-2.442993e+00,[ 0.39407658 -2.69948222],2.819906e-03,"[[ 0.30188042 -0.02820899]
 [-0.02820899  0.29049938]]"
9,54,1.864314e-08,[[ 1.97407802 -0.79162015]],2.325300e-07,3.948942e-01,-2.699166e+00,2.292463e-01,2.674492e-01,-2.791784e+00,[ 0.39489416 -2.69916593],2.409073e-03,"[[ 0.26287647 -0.01240082]
 [-0.01240082  0.23381902]]"
10,60,1.864314e-08,[[ 1.97407802 -0.79162015]],3.742404e-07,3.944917e-01,-2.698672e+00,1.917219e-01,2.259217e-01,-3.139276e+00,[ 0.39449169 -2.69867176],2.072593e-03,"[[ 0.21388604 -0.01633281]
 [-0.01633281  0.20375763]]"
11,66,1.864314e-08,[[ 1.97407802 -0.79162015]],2.402252e-07,3.944901e-01,-2.698794e+00,1.512738e-01,1.797567e-01,-3.604815e+00,[ 0.39449007 -2.69879407],1.600544e-03,"[[ 0.16991249 -0.01354563]
 [-0.01354563  0.16111804]]"
12,72,1.864314e-08,[[ 1.97407802 -0.79162015]],1.372558e-07,3.946431e-01,-2.698980e+00,1.199184e-01,1.488773e-01,-4.025576e+00,[ 0.39464305 -2.69897998],1.273480e-03,"[[ 0.13671176 -0.01429338]
 [-0.01429338  0.13208402]]"
13,78,1.864314e-08,[[ 1.97407802 -0.79162015]],1.745445e-07,3.943472e-01,-2.698870e+00,9.716306e-02,1.305214e-01,-4.367583e+00,[ 0.39434721 -2.69886957],1.087941e-03,"[[ 0.12163818 -0.01474512]
 [-0.01474512  0.10604631]]"
14,84,1.983391e-09,[[ 1.97407802 -0.79162015]],3.352483e-08,3.944584e-01,-2.699100e+00,8.290931e-02,1.151924e-01,-4.651160e+00,[ 0.39445838 -2.69909979],9.460420e-04,"[[ 0.09832678 -0.01612528]
 [-0.01612528  0.09977488]]"
