Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,eigval0,eigval1,logDetC,m,sigma,C
1,6,5.629720e-01,[[ 0.57484044 -0.28428436]],1.957692e+00,9.646467e-01,3.313186e-01,1.000000e+00,1.000000e+00,0.000000e+00,[0.96464671 0.33131858],2.000000e+00,"[[1. 0.]
 [0. 1.]]"
2,12,2.387759e-01,[[ 0.57484044 -0.28428436]],2.596591e-01,6.521390e-01,-6.885465e-01,7.935670e-01,8.923130e-01,-3.451556e-01,[ 0.65213905 -0.68854649],1.716350e+00,"[[0.7980135  0.0204769 ]
 [0.0204769  0.88786651]]"
3,18,2.387759e-01,[[ 0.57484044 -0.28428436]],1.619987e-02,2.508180e-01,-8.984456e-01,6.361597e-01,7.556979e-01,-7.324193e-01,[ 0.25081803 -0.89844563],1.474191e+00,"[[0.65467068 0.04324485]
 [0.04324485 0.73718686]]"
4,24,2.387759e-01,[[ 0.57484044 -0.28428436]],6.069341e-01,-5.996668e-01,-6.290435e-01,5.811152e-01,6.651095e-01,-9.506098e-01,[-0.59966679 -0.62904352],1.413276e+00,"[[0.66201806 0.01581468]
 [0.01581468 0.58420664]]"
5,30,2.387759e-01,[[ 0.57484044 -0.28428436]],4.749702e-01,-1.149134e-01,-1.444681e+00,5.292294e-01,5.690054e-01,-1.200199e+00,[-0.11491338 -1.44468103],1.295722e+00,"[[ 0.53503595 -0.01404438]
 [-0.01404438  0.56319882]]"
6,36,6.766408e-02,[[ 0.57484044 -0.28428436]],4.641075e-02,3.053691e-01,-9.685379e-01,4.555934e-01,4.784868e-01,-1.523281e+00,[ 0.30536906 -0.96853788],1.074443e+00,"[[0.46556311 0.01135103]
 [0.01135103 0.46851707]]"
7,42,5.030745e-02,[[ 0.57484044 -0.28428436]],9.039272e-03,2.525998e-01,-8.063104e-01,3.701037e-01,3.905964e-01,-1.934053e+00,[ 0.25259975 -0.80631045],8.624773e-01,"[[0.37503764 0.00876168]
 [0.00876168 0.38566246]]"
8,48,5.030745e-02,[[ 0.57484044 -0.28428436]],3.030128e-02,1.194349e-01,-9.815203e-01,2.974237e-01,3.205061e-01,-2.350452e+00,[ 0.11943492 -0.98152032],6.799346e-01,"[[0.30678931 0.01133431]
 [0.01133431 0.31114045]]"
9,54,6.177985e-03,[[ 0.57484044 -0.28428436]],2.477482e-02,7.947686e-02,-6.751008e-01,2.480147e-01,3.028570e-01,-2.588762e+00,[ 0.07947686 -0.6751008 ],6.202257e-01,"[[ 0.24826812 -0.00371935]
 [-0.00371935  0.30260361]]"
10,60,6.177985e-03,[[ 0.57484044 -0.28428436]],7.170107e-03,9.179967e-02,-7.585008e-01,1.978479e-01,2.448570e-01,-3.027338e+00,[ 0.09179967 -0.75850077],4.786739e-01,"[[ 0.19785076 -0.00036626]
 [-0.00036626  0.24485415]]"
11,66,5.365426e-03,[[ 0.57484044 -0.28428436]],3.267942e-02,3.787650e-02,-6.763228e-01,1.618282e-01,2.047754e-01,-3.407061e+00,[ 0.0378765  -0.67632279],4.094693e-01,"[[ 0.16260608 -0.00572738]
 [-0.00572738  0.20399754]]"
12,72,2.105268e-03,[[ 0.57484044 -0.28428436]],2.577384e-03,1.156907e-01,-7.831613e-01,1.315458e-01,1.837637e-01,-3.722505e+00,[ 0.11569065 -0.78316133],3.425988e-01,"[[ 0.13620042 -0.01487911]
 [-0.01487911  0.17910912]]"
13,78,2.105268e-03,[[ 0.57484044 -0.28428436]],3.422545e-03,1.589998e-01,-8.701881e-01,1.051549e-01,1.864637e-01,-3.931839e+00,[ 0.15899976 -0.87018805],3.278940e-01,"[[ 0.11751538 -0.02919301]
 [-0.02919301  0.17410328]]"
14,84,4.022611e-04,[[ 0.57484044 -0.28428436]],1.314876e-03,1.696720e-01,-8.459205e-01,8.724347e-02,1.502140e-01,-4.334747e+00,[ 0.16967202 -0.84592048],2.746126e-01,"[[ 0.09913305 -0.0246441 ]
 [-0.0246441   0.13832445]]"
15,90,1.062709e-04,[[ 0.57484044 -0.28428436]],2.445974e-04,1.731602e-01,-8.094901e-01,7.162051e-02,1.209491e-01,-4.748759e+00,[ 0.1731602  -0.80949008],2.251120e-01,"[[ 0.07897708 -0.01757185]
 [-0.01757185  0.11359251]]"
16,96,1.062709e-04,[[ 0.57484044 -0.28428436]],3.075838e-05,1.632188e-01,-8.114697e-01,5.720485e-02,9.599295e-02,-5.204597e+00,[ 0.16321879 -0.81146966],1.697467e-01,"[[ 0.0632834  -0.01410059]
 [-0.01410059  0.0899144 ]]"
17,102,5.031223e-05,[[ 0.57484044 -0.28428436]],1.074113e-04,1.591833e-01,-8.014465e-01,4.619300e-02,7.812988e-02,-5.624310e+00,[ 0.15918331 -0.8014465 ],1.342079e-01,"[[ 0.05063313 -0.01104939]
 [-0.01104939  0.07368975]]"
18,108,5.031223e-05,[[ 0.57484044 -0.28428436]],2.543978e-04,1.732311e-01,-8.152339e-01,3.757718e-02,6.633090e-02,-5.994458e+00,[ 0.17323111 -0.81523393],1.122327e-01,"[[ 0.04333061 -0.0115035 ]
 [-0.0115035   0.06057747]]"
19,114,1.469872e-05,[[ 0.57484044 -0.28428436]],5.248439e-05,1.569189e-01,-8.189053e-01,3.522813e-02,5.284836e-02,-6.286239e+00,[ 0.15691889 -0.81890525],9.841986e-02,"[[ 0.0389776  -0.00721166]
 [-0.00721166  0.04909889]]"
20,120,1.469872e-05,[[ 0.57484044 -0.28428436]],1.307507e-05,1.544389e-01,-8.100924e-01,2.800377e-02,4.434339e-02,-6.691208e+00,[ 0.15443886 -0.81009243],8.207747e-02,"[[ 0.03197922 -0.00701094]
 [-0.00701094  0.04036794]]"
21,126,1.469872e-05,[[ 0.57484044 -0.28428436]],3.624615e-04,1.660673e-01,-8.287907e-01,2.207554e-02,5.519229e-02,-6.710217e+00,[ 0.16606726 -0.82879067],8.229626e-02,"[[ 0.03048081 -0.01441204]
 [-0.01441204  0.04678702]]"
