Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,eigval0,eigval1,logDetC,m,sigma,C
1,6,5.018761e-02,[[ 0.57484044 -0.28428436]],2.818847e-01,6.511473e-01,-6.158119e-01,9.926136e-01,1.007441e+00,-2.619432e-16,[ 0.6511473 -0.6158119],3.744243e-01,"[[ 1.00423397 -0.00610497]
 [-0.00610497  0.995821  ]]"
2,12,4.837370e-02,[[ 0.57484044 -0.28428436]],1.065271e-01,2.741694e-01,-5.068123e-01,7.911217e-01,1.153930e+00,-9.112957e-02,[ 0.27416943 -0.50681233],3.729941e-01,"[[ 1.12295073 -0.10139012]
 [-0.10139012  0.82210141]]"
3,18,3.434939e-03,[[ 0.57484044 -0.28428436]],3.828918e-02,3.521302e-01,-7.898522e-01,7.714689e-01,9.290826e-01,-3.330165e-01,[ 0.35213023 -0.78985222],3.439062e-01,"[[ 0.89728405 -0.0632514 ]
 [-0.0632514   0.80326749]]"
4,24,3.434939e-03,[[ 0.57484044 -0.28428436]],8.650463e-03,1.122390e-01,-8.928534e-01,6.910257e-01,9.221488e-01,-4.506270e-01,[ 0.11223901 -0.89285342],3.602872e-01,"[[0.89533521 0.07401537]
 [0.07401537 0.71783928]]"
5,30,3.434939e-03,[[ 0.57484044 -0.28428436]],3.307361e-02,1.759752e-02,-6.957212e-01,6.276068e-01,7.922447e-01,-6.987263e-01,[ 0.01759752 -0.69572122],3.423125e-01,"[[0.79212455 0.00444613]
 [0.00444613 0.62772701]]"
6,36,3.434939e-03,[[ 0.57484044 -0.28428436]],2.354347e-02,1.820560e-01,-9.631903e-01,5.881323e-01,7.184599e-01,-8.614488e-01,[ 0.18205602 -0.96319029],3.222009e-01,"[[ 0.66083796 -0.06472591]
 [-0.06472591  0.64575421]]"
7,42,3.434939e-03,[[ 0.57484044 -0.28428436]],1.426197e-02,1.400860e-01,-9.298212e-01,4.729832e-01,5.710194e-01,-1.309028e+00,[ 0.14008596 -0.9298212 ],2.632899e-01,"[[ 0.52880389 -0.04854381]
 [-0.04854381  0.51519868]]"
8,48,3.434939e-03,[[ 0.57484044 -0.28428436]],2.715254e-02,7.815804e-02,-9.560237e-01,4.101939e-01,4.610154e-01,-1.665449e+00,[ 0.07815804 -0.95602366],2.253665e-01,"[[ 0.44797145 -0.02219839]
 [-0.02219839  0.4232378 ]]"
9,54,9.299559e-04,[[ 0.57484044 -0.28428436]],2.694785e-03,1.275487e-01,-8.539738e-01,3.621950e-01,3.909827e-01,-1.954664e+00,[ 0.12754868 -0.85397381],1.931429e-01,"[[ 0.36221393 -0.00073708]
 [-0.00073708  0.39096378]]"
10,60,9.299559e-04,[[ 0.57484044 -0.28428436]],2.216538e-03,1.242962e-01,-7.785008e-01,2.865439e-01,3.956398e-01,-2.177115e+00,[ 0.1242962  -0.77850076],1.850083e-01,"[[0.28665714 0.00351381]
 [0.00351381 0.39552648]]"
11,66,9.299559e-04,[[ 0.57484044 -0.28428436]],8.041908e-04,1.857655e-01,-8.156069e-01,2.699280e-01,3.145886e-01,-2.466090e+00,[ 0.18576548 -0.81560695],1.652910e-01,"[[0.26994881 0.00096437]
 [0.00096437 0.31456776]]"
12,72,9.299559e-04,[[ 0.57484044 -0.28428436]],2.356434e-03,1.998714e-01,-8.357029e-01,2.240300e-01,2.655931e-01,-2.821765e+00,[ 0.19987141 -0.83570286],1.419330e-01,"[[ 0.22590475 -0.00862595]
 [-0.00862595  0.26371833]]"
13,78,8.869731e-04,[[ 0.57484044 -0.28428436]],2.166430e-03,1.839192e-01,-8.501428e-01,1.786244e-01,2.153204e-01,-3.258098e+00,[ 0.18391918 -0.85014275],1.128370e-01,"[[ 0.17935039 -0.0051102 ]
 [-0.0051102   0.21459441]]"
14,84,5.332674e-04,[[ 0.57484044 -0.28428436]],3.382776e-04,1.547836e-01,-8.298637e-01,1.549571e-01,1.888268e-01,-3.531532e+00,[ 0.15478362 -0.8298637 ],9.938601e-02,"[[ 0.16851008 -0.0165937 ]
 [-0.0165937   0.17527382]]"
15,90,5.332674e-04,[[ 0.57484044 -0.28428436]],1.327708e-03,1.493177e-01,-8.471662e-01,1.359421e-01,1.499526e-01,-3.892962e+00,[ 0.1493177  -0.84716624],8.592433e-02,"[[ 0.14013753 -0.00641709]
 [-0.00641709  0.14575718]]"
16,96,4.783936e-04,[[ 0.57484044 -0.28428436]],1.054526e-03,1.407288e-01,-8.394001e-01,1.094454e-01,1.245722e-01,-4.295199e+00,[ 0.14072885 -0.83940005],7.364532e-02,"[[ 0.11801384 -0.00749634]
 [-0.00749634  0.11600378]]"
17,102,9.247472e-06,[[ 0.57484044 -0.28428436]],5.038474e-04,1.454385e-01,-7.928842e-01,9.361954e-02,2.284139e-01,-3.845112e+00,[ 0.14543847 -0.79288422],9.419847e-02,"[[ 0.09366163 -0.00238152]
 [-0.00238152  0.22837181]]"
18,108,9.247472e-06,[[ 0.57484044 -0.28428436]],1.490323e-04,1.644172e-01,-8.015216e-01,8.771997e-02,1.888801e-01,-4.100249e+00,[ 0.16441721 -0.8015216 ],9.456887e-02,"[[0.08797714 0.00509411]
 [0.00509411 0.18862292]]"
19,114,9.247472e-06,[[ 0.57484044 -0.28428436]],3.870027e-05,1.525369e-01,-8.152039e-01,7.051035e-02,1.528932e-01,-4.530011e+00,[ 0.15253693 -0.81520391],7.291490e-02,"[[0.07103051 0.00652551]
 [0.00652551 0.15237304]]"
20,120,9.247472e-06,[[ 0.57484044 -0.28428436]],6.789926e-05,1.556395e-01,-8.196845e-01,5.724467e-02,1.245900e-01,-4.943147e+00,[ 0.15563946 -0.81968455],5.596126e-02,"[[0.05775975 0.00586707]
 [0.00586707 0.12407498]]"
21,126,9.247472e-06,[[ 0.57484044 -0.28428436]],9.289102e-06,1.562240e-01,-8.143793e-01,4.651021e-02,1.003380e-01,-5.367294e+00,[ 0.15622402 -0.81437934],4.419356e-02,"[[0.04680404 0.00396605]
 [0.00396605 0.10004415]]"
22,132,9.247472e-06,[[ 0.57484044 -0.28428436]],4.415052e-05,1.619937e-01,-8.066485e-01,4.044517e-02,9.439684e-02,-5.568056e+00,[ 0.16199365 -0.80664855],4.250917e-02,"[[0.04328962 0.01205702]
 [0.01205702 0.0915524 ]]"
23,138,9.247472e-06,[[ 0.57484044 -0.28428436]],4.260022e-05,1.613975e-01,-8.170635e-01,3.342550e-02,8.492498e-02,-5.864423e+00,[ 0.16139748 -0.81706355],3.705811e-02,"[[0.03473144 0.00809627]
 [0.00809627 0.08361904]]"
24,144,5.792357e-06,[[ 0.57484044 -0.28428436]],3.475483e-05,1.635484e-01,-8.111640e-01,2.718746e-02,7.168633e-02,-6.240454e+00,[ 0.16354843 -0.81116398],3.201030e-02,"[[0.02899907 0.00879389]
 [0.00879389 0.06987473]]"
25,150,4.278860e-06,[[ 0.57484044 -0.28428436]],1.697636e-05,1.617511e-01,-8.123194e-01,2.210585e-02,5.670722e-02,-6.681767e+00,[ 0.16175107 -0.81231935],2.401970e-02,"[[0.02360385 0.00704194]
 [0.00704194 0.05520922]]"
26,156,4.278860e-06,[[ 0.57484044 -0.28428436]],9.235986e-06,1.587822e-01,-8.088692e-01,2.500502e-02,5.058045e-02,-6.672869e+00,[ 0.15878217 -0.80886925],2.477199e-02,"[[ 0.02501512 -0.00050808]
 [-0.00050808  0.05057036]]"
27,162,4.278860e-06,[[ 0.57484044 -0.28428436]],6.109377e-06,1.583248e-01,-8.093150e-01,2.116987e-02,4.032225e-02,-7.066028e+00,[ 0.15832482 -0.80931501],2.232695e-02,"[[ 0.02123737 -0.00113499]
 [-0.00113499  0.04025476]]"
28,168,5.217682e-07,[[ 0.57484044 -0.28428436]],6.775792e-06,1.557781e-01,-8.134803e-01,2.092871e-02,4.449953e-02,-6.978910e+00,[ 0.1557781 -0.8134803],2.457117e-02,"[[0.02301094 0.00668911]
 [0.00668911 0.0424173 ]]"
29,174,5.217682e-07,[[ 0.57484044 -0.28428436]],8.809302e-07,1.586135e-01,-8.117715e-01,1.787065e-02,3.589201e-02,-7.351836e+00,[ 0.15861346 -0.81177153],1.902895e-02,"[[0.02004076 0.00586505]
 [0.00586505 0.03372191]]"
30,180,5.217682e-07,[[ 0.57484044 -0.28428436]],4.099372e-06,1.588807e-01,-8.100720e-01,1.412182e-02,3.133489e-02,-7.723058e+00,[ 0.15888068 -0.81007201],1.574979e-02,"[[0.01620371 0.00561261]
 [0.00561261 0.029253  ]]"
31,186,5.217682e-07,[[ 0.57484044 -0.28428436]],1.876023e-06,1.590446e-01,-8.117852e-01,1.182622e-02,2.637709e-02,-8.072696e+00,[ 0.15904463 -0.81178518],1.337197e-02,"[[0.0129281  0.00384958]
 [0.00384958 0.0252752 ]]"
32,192,2.457598e-08,[[ 0.57484044 -0.28428436]],1.757441e-06,1.587880e-01,-8.109763e-01,9.488523e-03,2.116429e-02,-8.513112e+00,[ 0.15878796 -0.81097627],1.036222e-02,"[[0.01024242 0.00286949]
 [0.00286949 0.02041039]]"
33,198,2.457598e-08,[[ 0.57484044 -0.28428436]],1.270621e-07,1.577467e-01,-8.113508e-01,1.009398e-02,1.802406e-02,-8.611864e+00,[ 0.15774673 -0.81135079],1.029109e-02,"[[0.01163422 0.00313718]
 [0.00313718 0.01648382]]"
34,204,2.457598e-08,[[ 0.57484044 -0.28428436]],1.453655e-07,1.579853e-01,-8.119255e-01,8.114509e-03,1.548281e-02,-8.982126e+00,[ 0.15798534 -0.81192552],8.984648e-03,"[[0.00926435 0.002674  ]
 [0.002674   0.01433297]]"
35,210,2.457598e-08,[[ 0.57484044 -0.28428436]],1.707483e-08,1.577918e-01,-8.116370e-01,6.698854e-03,1.232521e-02,-9.401927e+00,[ 0.15779181 -0.81163704],7.478341e-03,"[[0.00760813 0.00207102]
 [0.00207102 0.01141593]]"
36,216,2.457598e-08,[[ 0.57484044 -0.28428436]],3.874352e-08,1.578384e-01,-8.118140e-01,5.295132e-03,9.846213e-03,-9.861636e+00,[ 0.15783836 -0.81181402],5.932006e-03,"[[0.00600168 0.00164814]
 [0.00164814 0.00913966]]"
37,222,2.457598e-08,[[ 0.57484044 -0.28428436]],6.137803e-08,1.577704e-01,-8.119302e-01,4.183128e-03,8.126471e-03,-1.028932e+01,[ 0.15777037 -0.81193019],4.862446e-03,"[[0.00480263 0.00143497]
 [0.00143497 0.00750696]]"
38,228,5.540822e-09,[[ 0.57484044 -0.28428436]],5.050041e-08,1.576103e-01,-8.119149e-01,3.821897e-03,6.612458e-03,-1.058581e+01,[ 0.15761029 -0.81191489],4.265625e-03,"[[0.00440061 0.00113138]
 [0.00113138 0.00603375]]"
