,EvalCount,0,0.75,0.25,EvalCount,1,0.75,0.25,EvalCount,2,0.75,0.25,EvalCount,0,0,0,0,0,0
0,12.0,0.5421421,0.5981697,0.47569505,12.0,62653.97,157402.925,37237.105,12,16408.42,51002.7225,5110.1205,12,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
1,24.0,0.45235755,0.49709359999999997,0.4076696,24.0,48652.350000000006,92036.825,25014.567499999997,24,11408.197499999998,28400.7225,4130.552,24,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
2,36.0,0.42032325,0.485401275,0.382623875,36.0,37314.354999999996,69004.4475,22028.135,36,9645.2125,22866.0225,2570.22325,36,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
3,48.0,0.39827334999999997,0.4681898,0.354027825,48.0,24723.52,40652.2575,20989.4875,48,8539.855,16775.057500000003,2570.22325,48,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
4,60.0,0.37491969999999997,0.44373379999999996,0.30783737499999997,60.0,22464.18,40652.2575,19719.004999999997,60,7252.588,14768.9725,1978.61575,60,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
5,72.0,0.35799179999999997,0.396697575,0.296709025,72.0,21112.335,37680.442500000005,16266.455,72,5898.558,10915.0825,1978.61575,72,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
6,84.0,0.3279896,0.395824725,0.245968525,84.0,19908.585,28290.195,11532.125,84,4697.9805,9839.60925,1506.512,84,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
7,96.0,0.31011849999999996,0.35870265,0.245968525,96.0,17421.385000000002,21090.192499999997,7190.56325,96,4222.7245,7904.3465,1461.95625,96,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
8,108.0,0.2640449,0.33556624999999995,0.222962875,108.0,13922.41,20971.085,6318.25975,108,4222.7245,6038.6990000000005,1114.9365,108,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
9,120.0,0.2506213,0.29800725,0.212495625,120.0,9001.8665,16397.36,5292.3575,120,3449.2835,5316.84725,1114.9365,120,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
10,132.0,0.23200265,0.27856092499999996,0.17115385,132.0,8031.8904999999995,12868.0675,5266.2785,132,3088.7695000000003,5316.84725,1114.9365,132,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
11,144.0,0.18582055,0.24910775,0.1507452,144.0,7156.385,11352.89,4774.3335,144,2878.201,5231.9794999999995,1035.614,144,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
12,156.0,0.17187555,0.24910775,0.14200035,156.0,5227.335999999999,7800.11075,3851.1057499999997,156,2594.8495000000003,5169.9695,1029.08005,156,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
13,168.0,0.13715905,0.24910775,0.1199389,168.0,4265.8555,6471.148999999999,3722.3705,168,2265.0985,4355.99625,1009.2152000000001,168,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
14,180.0,0.11467045000000001,0.215764075,0.1032514,180.0,4131.017,6444.9794999999995,2678.34275,180,1526.9360000000001,4355.99625,814.115525,180,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
15,192.0,0.11078255000000001,0.20188375,0.094642415,192.0,3729.456,5381.768,2197.9595,192,1480.5549999999998,4117.65675,670.91515,192,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
16,204.0,0.10887060000000001,0.134758675,0.086005635,204.0,3638.6385,5381.768,2106.6895,204,1480.5549999999998,3074.14425,561.0785,204,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
17,216.0,0.1064106,0.131055475,0.0824902375,216.0,3575.4765,4877.93625,2070.3235000000004,216,1443.4505,3074.14425,457.618975,216,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
18,228.0,0.10115045,0.127958775,0.0824902375,228.0,2610.96,4877.93625,2070.3235000000004,228,1443.4505,2969.7225,352.956675,228,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
19,240.0,0.09065517000000001,0.127958775,0.07130601,240.0,2490.7264999999998,3865.408,1462.2425,240,1131.80825,2395.20425,352.956675,240,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
20,252.0,0.07845331,0.101147925,0.06113686,252.0,2142.071,3670.9852499999997,1288.56725,252,978.08025,2219.657,349.24035000000003,252,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
21,264.0,0.07845331,0.09691248,0.06029947,264.0,1969.8355000000001,3018.14025,1049.611625,264,978.08025,2219.657,323.959,264,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
22,276.0,0.07340694,0.0813734725,0.0573548375,276.0,1969.8355000000001,3010.27725,812.2639,276,905.3998,1796.00225,312.7493,276,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
23,288.0,0.06871018500000001,0.0812654425,0.0523361425,288.0,1582.633,2413.67375,751.1894,288,501.74145,1781.66525,293.861025,288,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
24,300.0,0.06227837,0.07601061249999999,0.049744617500000005,300.0,1522.747,2381.85425,726.819125,300,501.74145,1623.95025,253.47717500000002,300,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
25,312.0,0.057736375,0.0728664125,0.045149465,312.0,1172.6055000000001,2055.27225,684.9729500000001,312,501.74145,1623.95025,216.492075,312,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
26,324.0,0.05049108,0.0728664125,0.0427988525,324.0,1039.6505,1675.217,560.4761,324,457.02874999999995,1190.5880000000002,209.953175,324,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
27,336.0,0.049407809999999996,0.0652320275,0.038475155000000004,336.0,926.2706,1281.17875,481.832225,336,429.75995,937.092,192.756225,336,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
28,348.0,0.04233471,0.0652320275,0.028936705,348.0,639.13075,1130.3795,429.42679999999996,348,426.97389999999996,855.6918000000001,181.464,348,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
29,360.0,0.034136235,0.064012135,0.026409805,360.0,597.99185,1085.2797500000001,414.17832500000003,360,426.97389999999996,855.6918000000001,162.97365,360,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
30,372.0,0.03283886,0.0519949875,0.02484596,372.0,542.00905,1085.2797500000001,366.320925,372,378.27099999999996,639.842575,162.97365,372,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
31,384.0,0.031926225,0.0497131025,0.0230390625,384.0,542.00905,942.71385,366.320925,384,306.69894999999997,540.12535,126.77275,384,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
32,396.0,0.027118919999999998,0.0388257875,0.0228186075,396.0,466.42365,856.0662500000001,357.3891,396,283.57665,490.217975,126.77275,396,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
33,408.0,0.026464855000000002,0.0383505425,0.0201343125,408.0,466.42365,843.96245,312.84182500000003,408,214.4434,411.57802499999997,125.20665,408,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
34,420.0,0.025050105000000003,0.03742514,0.0201343125,420.0,465.40144999999995,757.243825,295.41307500000005,420,214.4434,411.57802499999997,103.14895,420,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
35,432.0,0.02395203,0.03356597,0.017775297500000002,432.0,392.20285,593.764075,295.41307500000005,432,201.4539,411.57802499999997,103.14895,432,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
36,444.0,0.02363213,0.032273605,0.017690655,444.0,351.72525,580.86735,280.6551,444,181.75145,411.57802499999997,95.180705,444,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
37,456.0,0.01971413,0.0262314775,0.0159103425,456.0,313.79645000000005,478.07065,244.5604,456,170.2074,393.6936,95.1188125,456,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
38,468.0,0.018459984999999998,0.0253016475,0.0121558975,468.0,291.1995,419.915625,200.89535,468,170.2074,393.6936,80.6754,468,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
39,480.0,0.01651868,0.023544092500000002,0.011180795,480.0,286.69285,406.11165,200.7241,480,170.2074,387.748,74.3499975,480,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
40,492.0,0.015506055,0.0228843875,0.010242794749999999,492.0,264.537,377.0874,196.87095,492,164.10500000000002,288.95282499999996,73.81259,492,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
41,504.0,0.011901205,0.0202457,0.00950640825,504.0,237.1492,344.476825,189.777425,504,164.10500000000002,278.89835,63.0389525,504,1.2338e-13,6.2549e-14,3.9144e-13,4.957597500000001e-07,1.51402325e-07,4.23669675e-05
